City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Grand Gaube,MU,-20.0064,57.6608,83.37,66,9,5.01,clear sky
215,Enshi,CN,30.3,109.4833,61.52,49,0,0.96,clear sky
216,Altamira,BR,-3.2033,-52.2064,71.96,96,100,2.62,overcast clouds
217,Narasannapeta,IN,18.4167,84.05,76.01,37,0,4.94,clear sky
218,Abadan,IR,30.3392,48.3043,53.55,87,75,4.61,mist
219,The Valley,AI,18.217,-63.0578,77.09,75,2,16.96,clear sky
220,Puerto Ayacucho,VE,5.6639,-67.6236,73.9,89,98,2.89,light rain
221,Karratha,AU,-20.7377,116.8463,91.08,44,82,11.56,broken clouds
222,Tessalit,ML,20.1986,1.0114,58.95,21,96,9.19,overcast clouds
223,Popondetta,PG,-8.7537,148.2534,86.61,64,100,5.19,moderate rain
224,Kavaratti,IN,10.5669,72.642,82.4,62,1,10.78,clear sky
225,Kidal,ML,18.4411,1.4078,63.14,22,81,13.58,broken clouds
226,Solnechnyy,RU,50.7214,136.6319,0.95,92,68,2.68,broken clouds
227,Vao,NC,-22.6667,167.4833,77.13,69,38,25.99,scattered clouds
228,Magadan,RU,59.5667,150.8,-3.48,95,100,5.06,overcast clouds
229,Adrar,MR,20.5022,-10.0711,59.61,17,99,15.19,overcast clouds
230,Mbandaka,CD,0.0487,18.2603,70.21,89,48,3.71,scattered clouds
231,Gaoyou,CN,32.7858,119.4278,56.98,53,0,13.69,clear sky
232,Lata,PT,40.1629,-8.3327,57.81,96,100,2.71,overcast clouds
233,Nouakchott,MR,18.0858,-15.9785,66.13,32,100,10.42,overcast clouds
234,Ileza,RU,61.0533,43.9002,-33.84,100,14,1.14,few clouds
235,Doha,QA,25.2867,51.5333,60.78,74,69,6.91,broken clouds
236,Gerede,TR,40.8008,32.1969,26.55,70,0,4.85,clear sky
237,San Patricio,US,28.017,-97.5169,66.06,67,66,6.64,broken clouds
238,Korla,CN,41.7597,86.1469,35.11,30,100,0.58,overcast clouds
239,Juneau,US,58.3019,-134.4197,35.22,100,100,5.75,fog
240,Salym,RU,60.0625,71.4789,-18.22,93,100,10.89,overcast clouds
241,Andra,RU,62.5147,65.8878,-28.32,98,84,6.78,broken clouds
242,Acatlan,MX,20.15,-98.45,50.94,85,84,4.03,broken clouds
243,Labuan,MY,5.2767,115.2417,80.96,78,40,5.01,scattered clouds
244,Rivera,UY,-30.9053,-55.5508,65.26,79,20,8.77,few clouds
245,Port Elizabeth,ZA,-33.918,25.5701,70.32,80,0,4.61,clear sky
246,Unity,CA,52.4501,-109.1682,23.25,89,96,7.02,overcast clouds
247,Novokayakent,RU,42.3937,47.9861,25.59,60,85,7.47,overcast clouds
248,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,82,75,15.57,broken clouds
249,Yerbogachen,RU,61.2767,108.0108,-12.6,98,100,7.65,light snow
250,Kang,BW,-23.6752,22.7876,70.0,60,8,12.1,clear sky
251,Verkhnevilyuysk,RU,63.4453,120.3167,-48.8,98,55,2.57,broken clouds
252,Thompson,CA,55.7435,-97.8558,-10.75,100,65,1.16,broken clouds
253,Portsmouth,GB,50.799,-1.0913,45.97,87,63,11.99,broken clouds
254,Te Anau,NZ,-45.4167,167.7167,80.74,39,4,7.34,clear sky
255,Fairbanks,US,64.8378,-147.7164,-13.7,100,91,2.1,overcast clouds
256,Gravdal,NO,68.1214,13.5031,37.29,75,75,5.75,broken clouds
257,Zhuanghe,CN,39.7008,122.9911,34.97,25,24,11.65,few clouds
258,Rocha,UY,-34.4833,-54.3333,61.5,94,1,5.88,clear sky
259,Norrtalje,SE,59.758,18.705,38.43,100,100,3.04,overcast clouds
260,Sumbe,AO,-11.2061,13.8437,74.95,86,100,3.58,light rain
261,Katobu,ID,-4.9408,122.5276,86.52,57,97,7.49,light rain
262,Lodja,CD,-3.4833,23.4333,67.15,97,76,1.99,broken clouds
263,Sinnamary,GF,5.3833,-52.95,74.88,92,100,8.79,overcast clouds
264,Anton Lizardo,MX,19.05,-95.9833,75.42,84,2,6.33,light rain
265,Turayf,SA,31.6725,38.6637,44.85,87,75,16.11,light rain
266,Alta,NO,69.9689,23.2717,19.18,74,40,20.71,scattered clouds
267,Bonfim,BR,3.0833,-59.95,76.77,76,29,8.25,scattered clouds
268,Corabia,RO,43.7833,24.5,30.78,87,49,3.98,scattered clouds
269,Meulaboh,ID,4.1363,96.1285,82.89,68,93,3.65,overcast clouds
270,Orange,US,33.7,-117.7675,62.22,74,100,3.44,overcast clouds
271,Srednekolymsk,RU,67.45,153.6833,-45.98,99,27,4.63,scattered clouds
272,Avera,US,33.194,-82.5271,55.45,69,100,6.76,overcast clouds
273,Namibe,AO,-15.1961,12.1522,70.59,78,97,4.36,overcast clouds
274,Shymkent,KZ,42.3,69.6,34.39,93,100,4.47,light snow
275,Canon City,US,38.441,-105.2424,46.38,23,0,6.91,clear sky
276,Churapcha,RU,62.0025,132.4325,-15.54,96,99,1.95,overcast clouds
277,Leninskoye,KZ,41.7589,69.3864,40.59,81,100,5.44,overcast clouds
278,Baoding,CN,38.8511,115.4903,43.52,30,0,3.67,clear sky
279,Panacan,PH,9.2463,118.4082,81.66,76,100,11.1,overcast clouds
280,Iqaluit,CA,63.7506,-68.5145,-22.27,69,75,25.32,broken clouds
281,Lithakia,GR,37.7167,20.8333,43.97,74,57,2.04,broken clouds
282,Saurimo,AO,-9.6608,20.3916,62.89,98,100,2.48,light rain
